Job Title,Job Description
Database Administrator,"Description: Manage and secure database systems. Responsibilities: Install, configure, maintain DBs. Optimize performance. Perform backups and recovery. Troubleshoot issues. Qualifications: Bachelor's in Computer Science or related. Proficiency in SQL, MySQL, PostgreSQL, MongoDB. Experience in security, optimization."
Network Engineer,"Description: We are looking for a Network Engineer to maintain infrastructure. Responsibilities: Design and deploy network solutions. Monitor and troubleshoot. Implement security. Manage routers, VPNs. Qualifications: Bachelor's in IT, Computer Science. Knowledge of TCP/IP, DNS, DHCP. Experience with firewalls and Cisco/Juniper tech."
Software Architect,"Description: Design scalable software systems. Responsibilities: Define architecture. Guide dev teams. Conduct reviews. Ensure performance, security. Stay updated. Qualifications: Bachelor's/Master’s in CS. Expert in software design, microservices, cloud. Strong leadership and coding skills."
Blockchain Developer,"Description: Build blockchain-based applications. Responsibilities: Develop smart contracts, optimize infrastructure, integrate systems, ensure security. Qualifications: Bachelor's in CS or IT. Proficiency in Solidity, Ethereum, Hyperledger. Knowledge of cryptography and distributed systems."
IT Project Manager,"Description: Manage IT projects. Responsibilities: Define scope and deliverables. Manage timelines and risks. Coordinate teams. Ensure smooth execution. Qualifications: Bachelor's in IT or related. Experience with Agile, Scrum. Strong leadership and problem-solving skills."
Business Intelligence Analyst,"Description: Analyze business data. Responsibilities: Collect, process data. Build dashboards. Drive decision-making. Ensure data integrity. Qualifications: Bachelor's in Data Science or similar. Proficient in SQL, Power BI, Tableau. Strong analytical skills."
Robotics Engineer,"Description: Design and develop robotic systems. Responsibilities: Build robots, develop control software, integrate sensors. Troubleshoot and optimize. Qualifications: Bachelor's/Master’s in Robotics or related. Proficient in C++, Python, ROS."
Embedded Systems Engineer,"Description: Build embedded software. Responsibilities: Develop and debug firmware. Collaborate with hardware teams. Optimize power and performance. Qualifications: Bachelor's in EE or CE. Proficient in C/C++, embedded Linux, RTOS."
Quality Assurance Engineer,"Description: Ensure software quality. Responsibilities: Develop and execute tests. Document bugs. Automate testing. Collaborate with devs. Qualifications: Bachelor's in CS. Experience with Selenium, JUnit. Knowledge of SDLC, Agile."
UX/UI Designer,"Description: Design digital experiences. Responsibilities: Create wireframes, conduct testing, collaborate with devs. Stay updated. Qualifications: Bachelor's in Design or HCI. Proficient in Figma, Adobe XD. Strong UX principles knowledge."
